# java.version=25.0.2.0.101 tzdata=2026a
Africa/Niamey	Africa/Niamey	false	West Africa Standard Time	West Africa Summer Time	WAT	WAT
Africa/Nouakchott	Africa/Nouakchott	false	Greenwich Mean Time	Nouakchott Daylight Time	GMT	GMT
Africa/Ouagadougou	Africa/Ouagadougou	false	Greenwich Mean Time	Ouagadougou Daylight Time	GMT	GMT
Africa/Porto-Novo	Africa/Porto-Novo	false	West Africa Standard Time	West Africa Summer Time	WAT	WAT
Africa/Sao_Tome	Africa/Sao_Tome	false	Greenwich Mean Time	São Tomé Daylight Time	GMT	GMT
Africa/Timbuktu	Africa/Timbuktu	false	Greenwich Mean Time	Bamako Daylight Time	GMT	GMT
Africa/Tripoli	Africa/Tripoli	false	Eastern European Standard Time	Eastern European Summer Time	EET	EEST
Africa/Tunis	Africa/Tunis	false	Central European Standard Time	Central European Summer Time	CET	CEST
Africa/Windhoek	Africa/Windhoek	false	Central Africa Time	Windhoek Daylight Time	CAT	CAT
America/Adak	America/Adak	true	Hawaii-Aleutian Standard Time	Hawaii-Aleutian Daylight Time	HAST	HADT
America/Anchorage	America/Anchorage	true	Alaska Standard Time	Alaska Daylight Time	AKST	AKDT
America/Anguilla	America/Anguilla	false	Atlantic Standard Time	Atlantic Daylight Time	AST	ADT
America/Antigua	America/Antigua	false	Atlantic Standard Time	Atlantic Daylight Time	AST	ADT
America/Araguaina	America/Araguaina	false	Brasilia Standard Time	Brasilia Summer Time	GMT-03:00	GMT-02:00
America/Argentina/Buenos_Aires	America/Argentina/Buenos_Aires	false	Argentina Standard Time	Argentina Summer Time	GMT-03:00	GMT-02:00
America/Argentina/Catamarca	America/Argentina/Catamarca	false	Argentina Standard Time	Argentina Summer Time	GMT-03:00	GMT-02:00
America/Argentina/ComodRivadavia	America/Argentina/ComodRivadavia	false	Argentina Standard Time	Argentina Summer Time	GMT-03:00	GMT-02:00
America/Argentina/Cordoba	America/Argentina/Cordoba	false	Argentina Standard Time	Argentina Summer Time	GMT-03:00	GMT-02:00
America/Argentina/Jujuy	America/Argentina/Jujuy	false	Argentina Standard Time	Argentina Summer Time	GMT-03:00	GMT-02:00
America/Argentina/La_Rioja	America/Argentina/La_Rioja	false	Argentina Standard Time	Argentina Summer Time	GMT-03:00	GMT-02:00
America/Argentina/Mendoza	America/Argentina/Mendoza	false	Argentina Standard Time	Argentina Summer Time	GMT-03:00	GMT-02:00
America/Argentina/Rio_Gallegos	America/Argentina/Rio_Gallegos	false	Argentina Standard Time	Argentina Summer Time	GMT-03:00	GMT-02:00
America/Argentina/Salta	America/Argentina/Salta	false	Argentina Standard Time	Argentina Summer Time	GMT-03:00	GMT-02:00
America/Argentina/San_Juan	America/Argentina/San_Juan	false	Argentina Standard Time	Argentina Summer Time	GMT-03:00	GMT-02:00
America/Argentina/San_Luis	America/Argentina/San_Luis	false	Argentina Standard Time	Argentina Summer Time	GMT-03:00	GMT-02:00
America/Argentina/Tucuman	America/Argentina/Tucuman	false	Argentina Standard Time	Argentina Summer Time	GMT-03:00	GMT-02:00
America/Argentina/Ushuaia	America/Argentina/Ushuaia	false	Argentina Standard Time	Argentina Summer Time	GMT-03:00	GMT-02:00
